,address,type,price,features,labels
1385,"5308 W Novak Way, Laveen, AZ 85339",House for rent,"$1,500/mo","['4', '2', '1,868']","['sqft', 'bds', 'ba']"
1386,"7125 W Maldonado Rd, Laveen, AZ 85339",Auction,$--,"['4', '--', '2,712']","['sqft', 'bds', 'ba']"
1387,"6710 S 76th Dr, Laveen, AZ 85339",House for rent,"$1,675/mo","['3', '2', '2,433']","['sqft', 'bds', 'ba']"
1388,"4918 W Piedmont Dr, Laveen, AZ 85339",House for rent,"$2,200/mo","['3', '3', '3,000']","['sqft', 'bds', 'ba']"
1389,"7327 W Ian Dr, Laveen, AZ 85339",House for sale,"$229,900","['4', '2', '1,905']","['sqft', 'bds', 'ba']"
1390,"6415 W Beverly Rd, Laveen, AZ 85339",House for rent,"$1,525/mo","['4', '2', '1,598']","['sqft', 'bds', 'ba']"
1391,"8323 S 48th Ln, Laveen, AZ 85339",House for rent,"$1,575/mo","['4', '2', '2,309']","['sqft', 'bds', 'ba']"
1392,"7232 S 44th Ln, Laveen, AZ 85339",House for rent,"$1,399/mo","['4', '2', '1,835']","['sqft', 'bds', 'ba']"
1393,"8028 S 29th Ave, Laveen, AZ 85339",House for sale,"$465,000","['4', '3', '2,751']","['sqft', 'bds', 'ba']"
1394,"5118 W Novak Way, Laveen, AZ 85339",House for rent,"$1,695/mo","['4', '2', '1,868']","['sqft', 'bds', 'ba']"
1395,"Coming Soon Plan, Legacy at Hudson",New construction,$--,"['--', '--', '--']","['sqft', 'bds', 'ba']"
1396,"7214 S 45th Ave, Laveen, AZ 85339",House for rent,"$1,675/mo","['3', '2', '1,478']","['sqft', 'bds', 'ba']"
1397,"3129 W Desert Ln, Laveen, AZ 85339",Coming soon,"$379,000","['3', '3', '2,808']","['sqft', 'bds', 'ba']"
1398,"8211 S 53rd Ave, Laveen, AZ 85339",House for rent,"$1,850/mo","['4', '2', '1,864']","['sqft', 'bds', 'ba']"
1399,"Zion Plan, Landmark in Santolina at South Mountain",New construction,"$266,990+","['3', '2', '1,801']","['sqft', 'bds', 'ba']"
1400,"9104 S 58th Dr, Laveen, AZ 85339",House for rent,"$1,845/mo","['5', '3', '1,816']","['sqft', 'bds', 'ba']"
1401,"Liberty Plan, Landmark in Santolina at South Mountain",New construction,"$313,990+","['5', '3.5', '3,053']","['sqft', 'bds', 'ba']"
1402,"5116 W Fawn Dr, Laveen, AZ 85339",House for sale,"$267,000","['3', '2', '2,138']","['sqft', 'bds', 'ba']"
1403,"8106 S 42nd Ln, Laveen, AZ 85339",House for sale,"$328,000","['4', '3', '2,522']","['sqft', 'bds', 'ba']"
1404,"6639 W Harwell Rd, Laveen, AZ 85339",House for rent,"$2,045/mo","['5', '3', '3,424']","['sqft', 'bds', 'ba']"
1405,"4054 W Coles Rd, Laveen, AZ 85339",House for sale,"$294,900","['4', '2', '2,070']","['sqft', 'bds', 'ba']"
