,address,type,price,features,labels
1727,"12642 W Verde Ln, Avondale, AZ 85392",House for rent,"$1,550/mo","['5', '3.5', '2,500']","['sqft', 'ba', 'bds']"
1728,"11167 W Berkeley Rd, Avondale, AZ 85392",House for sale,"$299,900","['4', '3', '1,979']","['sqft', 'ba', 'bds']"
1729,"Bella Mirage | 3800 N El Mirage Dr, Avondale, AZ",Bella Mirage,,"['$899+', '$1,218+', '$1,794']","['2 bds', '1 bd', '3 bds']"
1730,"Crystal Springs | 11885 W Mcdowell Rd, Avondale, AZ",Crystal Springs,,"['$948+', '$1,179+']","['2 bds', '1 bd']"
1731,"3121 N Aspen Dr, Avondale, AZ 85392",House for sale,"$259,900","['3', '2', '1,564']","['sqft', 'ba', 'bds']"
1732,"12728 W Holly St, Avondale, AZ 85392",House for rent,"$1,595/mo","['2', '2.5', '2,038']","['sqft', 'ba', 'bds']"
1733,"11125 W Sunflower Pl, Avondale, AZ 85392",House for sale,"$342,000","['5', '3', '2,869']","['sqft', 'ba', 'bds']"
1734,"10653 W Poinsettia Dr, Avondale, AZ 85392",House for rent,"$1,400/mo","['3', '2', '1,311']","['sqft', 'ba', 'bds']"
1735,"10911 W Ivory Ln, Avondale, AZ 85392",House for sale,"$230,000","['2', '2', '1,617']","['sqft', 'ba', 'bds']"
1736,"12736 W Holly St, Avondale, AZ 85392",House for sale,"$214,900","['3', '2', '1,450']","['sqft', 'ba', 'bds']"
1737,"10630 W La Reata Ave, Avondale, AZ 85392",House for sale,"$240,000","['4', '2', '1,665']","['sqft', 'ba', 'bds']"
1738,"Ashton Pointe | 12175 W Mcdowell Rd, Avondale, AZ",Ashton Pointe,,"['$990+', '$1,082+', '$1,515+']","['2 bds', '1 bd', '3 bds']"
1739,"12634 W Indianola Ave, Avondale, AZ 85392",House for sale,"$295,000","['3', '3', '2,169']","['sqft', 'ba', 'bds']"
1740,"10814 W Alvarado Rd, Avondale, AZ 85392",House for rent,"$1,400/mo","['3', '2', '1,573']","['sqft', 'ba', 'bds']"
1741,"10661 W Poinsettia Dr, Avondale, AZ 85392",Auction,"$200,431","['--', '--', '1,444']","['sqft', 'ba', 'bds']"
1742,"Oceana | 1700 N 103rd Ave, Avondale, AZ",Oceana,,"['$1,100+', '$1,265+', '$1,400+']","['2 bds', '1 bd', '3 bds']"
1743,"12838 W Roanoke Ave, Avondale, AZ 85392",House for rent,"$1,625/mo","['3', '2.5', '1,777']","['sqft', 'ba', 'bds']"
1744,"12337 W Campbell Ave, Avondale, AZ 85392",House for sale,"$299,900","['5', '3', '3,277']","['sqft', 'ba', 'bds']"
1745,"10418 W Roanoke Ave, Avondale, AZ 85392",House for sale,"$298,000","['3', '3', '2,934']","['sqft', 'ba', 'bds']"
1746,"Avalon Apartment Homes | 2005 N 103rd Ave, Avondale, AZ",Avalon Apartment Homes,,"['$1,145+', '$1,100+']","['2 bds', '1 bd']"
1747,"13030 W Monterey Way, Avondale, AZ 85392",Coming soon,"$240,900","['4', '2', '1,528']","['sqft', 'ba', 'bds']"
1748,"3134 N 126th Dr, Avondale, AZ 85392",House for rent, ,"['3', '2', '1,641']","['sqft', 'ba', 'bds']"
1749,"10771 W Edgemont Ave, Avondale, AZ 85392",House for rent,"$1,500/mo","['3', '2', '1,458']","['sqft', 'ba', 'bds']"
1750,"3520 N Copenhagen Dr, Avondale, AZ 85392",House for sale,"$295,000","['4', '2.5', '2,257']","['sqft', 'ba', 'bds']"
1751,"11610 W Hubbell St, Avondale, AZ 85392",House for sale,"$259,500","['4', '2', '1,673']","['sqft', 'ba', 'bds']"
1752,"16 Tract, Las Vegas, NM 87701",Lot / Land for sale,"$129,000",['140.17'],['acres lot']
1753,"95 Avenida Villa, Las Vegas, NM 87701",House for sale,"$275,000","['3', '2', '1,716']","['sqft', 'ba', 'bds']"
1754,"96AC S Of Las Vegas, Las Vegas, NM 87701",Lot / Land for sale,"$225,000",['96.12'],['acres lot']
1755,"1239 5th St, Las Vegas, NM 87701",House for sale,"$150,000","['3', '2', '1,312']","['sqft', 'ba', 'bds']"
1756,"115 S Grand Ave TRLR 3, Las Vegas, NM 87701",Apartment for rent,$650/mo,"['1', '1', '400']","['sqft', 'ba', 'bd']"
1757,"1407 8th St, Las Vegas, NM 87701",House for sale,"$185,000","['3', '1', '1,100']","['sqft', 'ba', 'bds']"
1758,"2201 Collins Dr, Las Vegas, NM 87701",Townhouse for sale,"$65,000","['2', '1', '874']","['sqft', 'ba', 'bds']"
1759,"315 9th St, Las Vegas, NM 87701",House for sale,"$40,000","['3', '2', '1,200']","['sqft', 'ba', 'bds']"
1760,"1025 Railroad Ave, Las Vegas, NM 87701",House for sale,"$98,000","['2', '1', '888']","['sqft', 'ba', 'bds']"
